BINOMIAL,AOH_name,is.migratory,excluded,Order_,F2019_Iucn_Red_List_Category,Model_prevalence,Point_prevalence,Number_of_Validation_Points,Point_validation
Acanthis flammea,Acanthis_flammea,yes,no,PASSERIFORMES,LC,0.526047796130413,0.93543956043956,5096,Yes
Accipiter badius,Accipiter_badius,yes,no,ACCIPITRIFORMES,LC,0.980994739521785,0,0,No
Accipiter striatus,Accipiter_striatus,yes,no,ACCIPITRIFORMES,LC,0.189485374287024,0.120216216216216,9250,Yes
Acrocephalus palustris,Acrocephalus_palustris,yes,no,PASSERIFORMES,LC,0.816008374677706,1,152,Yes
Acrocephalus scirpaceus,Acrocephalus_scirpaceus,yes,no,PASSERIFORMES,LC,0.575931451364482,0.888661899897855,979,Yes
Acrocephalus stentoreus,Acrocephalus_stentoreus,yes,no,PASSERIFORMES,LC,0.955190110550158,0.950138504155125,361,Yes
Aechmophorus occidentalis,Aechmophorus_occidentalis,yes,no,PODICIPEDIFORMES,LC,0.0763158002970357,0.292338709677419,2976,Yes
Alaudala rufescens,Alaudala_rufescens,yes,no,PASSERIFORMES,LC,0.802809295619891,0.942857142857143,70,Yes
Alectoris chukar,Alectoris_chukar,no,no,GALLIFORMES,LC,0.85956918764273,0.946360153256705,261,Yes
Amazilia castaneiventris,Amazilia_castaneiventris,no,no,CAPRIMULGIFORMES,EN,0.50275734207259,0,0,No
Amazona aestiva,Amazona_aestiva,no,no,PSITTACIFORMES,LC,0.655146451076576,0.924731182795699,279,Yes
Ammomanes cinctura,Ammomanes_cinctura,no,no,PASSERIFORMES,LC,0.93408095570473,1,37,Yes
Anas acuta,Anas_acuta,yes,no,ANSERIFORMES,LC,0.203737115710812,0.848557692307692,6240,Yes
Anas crecca,Anas_crecca,yes,no,ANSERIFORMES,LC,0.220970671573396,0.813346386033611,12258,Yes
Anas platyrhynchos,Anas_platyrhynchos,yes,no,ANSERIFORMES,LC,0.203772829659182,0,0,No
Anodorhynchus glaucus,Anodorhynchus_glaucus,no,no,PSITTACIFORMES,CR,0.302216819425989,0,0,No
Anodorhynchus leari,Anodorhynchus_leari,no,no,PSITTACIFORMES,EN,0.651578876364202,0,0,No
Anthocephala berlepschi,Anthocephala_berlepschi,no,no,CAPRIMULGIFORMES,VU,0.731897948085802,0,0,No
Anthocephala floriceps,Anthocephala_floriceps,no,no,CAPRIMULGIFORMES,VU,0.777431813436441,0,0,No
Anthropoides paradiseus,Anthropoides_paradiseus,no,no,GRUIFORMES,VU,0.909526365619612,1,47,Yes
Anthus cervinus,Anthus_cervinus,yes,no,PASSERIFORMES,LC,0.33852593792033,0.90625,128,Yes
Anthus richardi,Anthus_richardi,yes,no,PASSERIFORMES,LC,0.352258639414527,0.971153846153846,104,Yes
Anthus rubescens,Anthus_rubescens,yes,no,PASSERIFORMES,LC,0.344709331715353,0.887417218543046,2265,Yes
Anthus similis,Anthus_similis,yes,no,PASSERIFORMES,LC,0.875736823880278,1,57,Yes
Apteryx australis,Apteryx_australis,no,no,STRUTHIONIFORMES,VU,0.962803999014272,1,18,Yes
Apus pacificus,Apus_pacificus,yes,no,CAPRIMULGIFORMES,LC,0.464021098407622,0.917378917378917,351,Yes
