BINOMIAL,AOH_name,is.migratory,excluded
Acrocephalus aequinoctialis,Acrocephalus_aequinoctialis,no,NULL_Range
Acrocephalus longirostris,Acrocephalus_longirostris,no,NULL_Range
Acrocephalus taiti,Acrocephalus_taiti,no,NULL_Range
Cichlocolaptes mazarbarnetti,Cichlocolaptes_mazarbarnetti,na,EX
Cyanopsitta spixii,Cyanopsitta_spixii,na,EX
Dromas ardeola,Dromas_ardeola,na,habitat_marin
Larus glaucoides,Larus_glaucoides,na,habitat_marin
Melamprosops phaeosoma,Melamprosops_phaeosoma,na,EX
Onychoprion anaethetus,Onychoprion_anaethetus,na,habitat_marin
Pelecanoides whenuahouensis,Pelecanoides_whenuahouensis,na,habitat_marin
Philydor novaesi,Philydor_novaesi,na,EX
Phoebastria nigripes,Phoebastria_nigripes,na,habitat_marin
Pomarea whitneyi,Pomarea_whitneyi,no,NULL_Range
Puffinus persicus,Puffinus_persicus,na,habitat_marin
Rissa tridactyla,Rissa_tridactyla,na,habitat_marin
Sterna repressa,Sterna_repressa,na,habitat_marin
Sterna striata,Sterna_striata,na,habitat_marin
Sternula saundersi,Sternula_saundersi,na,habitat_marin
Thalasseus sandvicensis,Thalasseus_sandvicensis,na,habitat_marin
Todiramphus godeffroyi,Todiramphus_godeffroyi,no,NULL_Range
Todiramphus tutus,Todiramphus_tutus,no,NULL_Range
Zosterops modestus,Zosterops_modestus,no,NULL_Range
Hypotaenidia owstoni,Hypotaenidia_owstoni,na,EX
Urile perspicillatus,Urile_perspicillatus,na,EX
Charadrius peronii,Charadrius_peronii,na,habitat_marin
Charadrius sanctaehelenae,Charadrius_sanctaehelenae,no,NULL_Range
Charadrius wilsonia,Charadrius_wilsonia,na,habitat_marin
Chenonetta finschi,Chenonetta_finschi,na,EX
Chloephaga hybrida,Chloephaga_hybrida,na,habitat_marin
Chlorostilbon elegans,Chlorostilbon_elegans,na,EX
Coccyzus ferrugineus,Coccyzus_ferrugineus,no,NULL_Range
Coenocorypha barrierensis,Coenocorypha_barrierensis,na,EX
Coenocorypha huegeli,Coenocorypha_huegeli,no,NULL_Range
Coenocorypha iredalei,Coenocorypha_iredalei,na,EX
Colaptes oceanicus,Colaptes_oceanicus,na,EX
Columba versicolor,Columba_versicolor,na,EX
Collocalia esculenta,Collocalia_esculenta,no,NULL_AOH
Columba jouyi,Columba_jouyi,na,EX
Columba thiriouxi,Columba_thiriouxi,na,EX
Conuropsis carolinensis,Conuropsis_carolinensis,na,EX
Coracopsis barklyi,Coracopsis_barklyi,no,NULL_Range
Coturnicops noveboracensis,Coturnicops_noveboracensis,na,NULL_AOH
Coturnix novaezelandiae,Coturnix_novaezelandiae,na,EX
Coua delalandei,Coua_delalandei,na,EX
