scientific_name,order,family
Aquila rapax,ACCIPITRIFORMES,ACCIPITRIDAE
Chelictinia riocourii,ACCIPITRIFORMES,ELANIDAE
Circaetus beaudouini,ACCIPITRIFORMES,ACCIPITRIDAE
Necrosyrtes monachus,ACCIPITRIFORMES,ACCIPITRIDAE
Stephanoaetus coronatus,ACCIPITRIFORMES,ACCIPITRIDAE
Terathopius ecaudatus,ACCIPITRIFORMES,ACCIPITRIDAE
Ceratogymna atrata,BUCEROTIFORMES,BUCEROTIDAE
Ceratogymna elata,BUCEROTIFORMES,BUCEROTIDAE
Merops mentalis,CORACIIFORMES,MEROPIDAE
Balearica pavonina,GRUIFORMES,GRUIDAE
Apalis sharpii,PASSERIFORMES,CISTICOLIDAE
Criniger olivaceus,PASSERIFORMES,PYCNONOTIDAE
Hylopsar cupreocauda,PASSERIFORMES,STURNIDAE
Illadopsis rufescens,PASSERIFORMES,PELLORNEIDAE
Malaconotus lagdeni,PASSERIFORMES,MALACONOTIDAE
Parmoptila rubrifrons,PASSERIFORMES,ESTRILDIDAE
Phyllanthus atripennis,PASSERIFORMES,LEIOTRICHIDAE
Scotopelia ussheri,STRIGIFORMES,STRIGIDAE
