"scientific_name","genus","species","IUCN","population_trend"
"Accipiter badius","Accipiter","badius","LC","Stable"
"Accipiter erythropus","Accipiter","erythropus","LC","Decreasing"
"Accipiter melanoleucus","Accipiter","melanoleucus","LC","Decreasing"
"Accipiter ovampensis","Accipiter","ovampensis","LC","Increasing"
"Accipiter rufiventris","Accipiter","rufiventris","LC","Unknown"
"Accipiter toussenelii","Accipiter","toussenelii","LC","Decreasing"
"Acrocephalus rufescens","Acrocephalus","rufescens","LC","Stable"
"Acryllium vulturinum","Acryllium","vulturinum","LC","Stable"
"Afropavo congensis","Afropavo","congensis","NT","Decreasing"
"Afrotis afra","Afrotis","afra","VU","Decreasing"
"Afrotis afraoides","Afrotis","afraoides","LC","Stable"
"Agapornis lilianae","Agapornis","lilianae","NT","Decreasing"
"Agapornis nigrigenis","Agapornis","nigrigenis","VU","Decreasing"
"Agapornis personatus","Agapornis","personatus","LC","Stable"
"Agapornis pullarius","Agapornis","pullarius","LC","Decreasing"
"Agapornis roseicollis","Agapornis","roseicollis","LC","Decreasing"
"Agapornis swindernianus","Agapornis","swindernianus","LC","Decreasing"
"Alaemon alaudipes","Alaemon","alaudipes","LC","Decreasing"
"Alaudala somalica","Alaudala","somalica","LC","Decreasing"
"Alectoris philbyi","Alectoris","philbyi","LC","Stable"
"Alectroenas sganzini","Alectroenas","sganzini","NT","Decreasing"
"Alethe poliophrys","Alethe","poliophrys",NA,NA
"Amadina erythrocephala","Amadina","erythrocephala","LC","Stable"
"Amadina fasciata","Amadina","fasciata","LC","Stable"
"Amandava subflava","Amandava","subflava","LC","Stable"
"Amaurornis marginalis","Amaurornis","marginalis","LC","Unknown"
"Amblyospiza albifrons","Amblyospiza","albifrons","LC","Stable"
"Ammomanes cinctura","Ammomanes","cinctura","LC","Decreasing"
"Ammomanopsis grayi","Ammomanopsis","grayi","LC","Stable"
"Amphilais seebohmi","Amphilais","seebohmi",NA,NA
"Anabathmis newtonii","Anabathmis","newtonii","LC","Stable"
"Anabathmis reichenbachii","Anabathmis","reichenbachii","LC","Stable"
"Anaplectes rubriceps","Anaplectes","rubriceps","LC","Stable"
"Anas melleri","Anas","melleri","EN","Decreasing"
"Anastomus lamelligerus","Anastomus","lamelligerus","LC","Stable"
"Andropadus importunus","Andropadus","importunus","LC","Stable"
"Anthoscopus caroli","Anthoscopus","caroli","LC","Decreasing"
"Anthoscopus flavifrons","Anthoscopus","flavifrons","LC","Decreasing"
"Anthoscopus musculus","Anthoscopus","musculus","LC","Stable"
"Anthoscopus parvulus","Anthoscopus","parvulus","LC","Stable"
"Anthreptes aurantius","Anthreptes","aurantius","LC","Decreasing"
