,scientific_name,star_t,total_aoh_km2,ugf_aoh_km2,pct_aoh_in_ugf,IUCN,population_trend,Ws
1,Apalis sharpii,0.850748,327970.1884,279019.9894,85.07480232,NT,Decreasing,1
2,Aquila rapax,0.011271,17205784.35,96960.66087,0.563535256,VU,Decreasing,2
3,Balearica pavonina,0.00045,2738768.603,616.1612633,0.022497748,VU,Decreasing,2
4,Ceratogymna atrata,0.139555,1976003.064,275760.3529,13.95546181,NT,Decreasing,1
5,Ceratogymna elata,1.316659,416992.4584,274518.4761,65.83295946,VU,Decreasing,2
6,Chelictinia riocourii,0.000199,4154505.897,413.5932744,0.009955294,VU,Decreasing,2
7,Circaetus beaudouini,0.02026,3399411.754,34436.78053,1.013021753,VU,Decreasing,2
8,Criniger olivaceus,1.966692,230750.7331,226907.8375,98.33461175,VU,Decreasing,2
9,Hylopsar cupreocauda,0.931491,319311.6309,297435.8771,93.14908958,NT,Decreasing,1
10,Illadopsis rufescens,0.911621,242178.9955,220775.5162,91.162124,NT,Decreasing,1
11,Malaconotus lagdeni,0.890841,297770.2812,265265.828,89.0840506,NT,Decreasing,1
12,Merops mentalis,0.549935,283732.8548,156034.7161,54.99353123,NT,Decreasing,1
13,Necrosyrtes monachus,0.060543,10827668.9,163886.1538,1.513586676,CR,Decreasing,4
14,Parmoptila rubrifrons,0.986768,96426.14926,95150.22645,98.67678755,NT,Decreasing,1
15,Phyllanthus atripennis,0.253857,3056.324548,387.9347608,12.6928523,VU,Decreasing,2
16,Scotopelia ussheri,1.867245,343978.6534,321146.134,93.3622278,VU,Decreasing,2
17,Stephanoaetus coronatus,0.061352,5899624.474,361954.4204,6.135211182,NT,Decreasing,1
18,Terathopius ecaudatus,0.018831,13764107.68,86398.32327,0.627707406,EN,Decreasing,3
