species,conservation_status,biomass,sensitivity_disturbance,dispersal_ability,rel_abundance,forest_dependency_scaled,star_t,total_aoh_km2,ugf_aoh_km2,pct_aoh_in_ugf,IUCN,population_trend,Ws,order,family,generation_length,adult_survival,growth_rate,K_tetradensity
Apalis sharpii,2,8.7,1,8.9,85.07480232,1,0.850748,327970.1884,279019.9894,85.07480232,NT,Decreasing,1,PASSERIFORMES,CISTICOLIDAE,3.02,0.596873657,1.186345322,226.9623627
Aquila rapax,3,2236.1,0.125,38.7,0.563535256,0,0.011271,17205784.35,96960.66087,0.563535256,VU,Decreasing,2,ACCIPITRIFORMES,ACCIPITRIDAE,14.25,0.88426029,1.008669208,7.030460869
Balearica pavonina,3,3590,0,35.6,0.022497748,0,4.50E-04,2738768.603,616.1612633,0.022497748,VU,Decreasing,2,GRUIFORMES,GRUIDAE,12.39,0.894334233,1.009054117,33.111
Ceratogymna atrata,2,1194.8,1,17.5,13.95546181,1,0.139555,1976003.064,275760.3529,13.95546181,NT,Decreasing,1,BUCEROTIFORMES,BUCEROTIDAE,8.24,0.855084298,1.019181057,64.8
Ceratogymna elata,3,1917,1,19.5,65.83295946,1,1.316659,416992.4584,274518.4761,65.83295946,VU,Decreasing,2,BUCEROTIFORMES,BUCEROTIDAE,9.8,0.830377976,1.019147776,30.78378683
Chelictinia riocourii,3,110,0.125,55.7,0.009955294,0,1.99E-04,4154505.897,413.5932744,0.009955294,VU,Decreasing,2,ACCIPITRIFORMES,ELANIDAE,4.16,0.675179059,1.099018636,20.54078573
Circaetus beaudouini,3,1500,0.25,43.5,1.013021753,0,0.02026,3399411.754,34436.78053,1.013021753,VU,Decreasing,2,ACCIPITRIFORMES,ACCIPITRIDAE,10.83,0.874832798,1.012423959,8.104151994
Criniger olivaceus,3,28.1,0.75,12.5,98.33461175,0.5,1.966692,230750.7331,226907.8375,98.33461175,VU,Decreasing,2,PASSERIFORMES,PYCNONOTIDAE,3.81,0.682764779,1.105346388,149.5211544
Hylopsar cupreocauda,2,58,0.75,28,93.14908958,0.5,0.931491,319311.6309,297435.8771,93.14908958,NT,Decreasing,1,PASSERIFORMES,STURNIDAE,4.04,0.659342169,1.108599151,115.5243976
Illadopsis rufescens,2,37,1,7.9,91.162124,1,0.911621,242178.9955,220775.5162,91.162124,NT,Decreasing,1,PASSERIFORMES,PELLORNEIDAE,3.97,0.698199538,1.094711952,135.5710092
Malaconotus lagdeni,2,92.3,0.75,8.3,89.0840506,0.5,0.890841,297770.2812,265265.828,89.0840506,NT,Decreasing,1,PASSERIFORMES,MALACONOTIDAE,4.99,0.727001425,1.065978498,97.91516447
Merops mentalis,2,22.5,1,24.4,54.99353123,1,0.549935,283732.8548,156034.7161,54.99353123,NT,Decreasing,1,CORACIIFORMES,MEROPIDAE,3.11,0.8,1.074387077,110.554489
Necrosyrtes monachus,5,2043,0.375,38.7,1.513586676,0.5,0.060543,10827668.9,163886.1538,1.513586676,CR,Decreasing,4,ACCIPITRIFORMES,ACCIPITRIDAE,13,0.883207275,1.00959927,7.260150739
Parmoptila rubrifrons,2,9.5,0.625,13.9,98.67678755,0.5,0.986768,96426.14926,95150.22645,98.67678755,NT,Decreasing,1,PASSERIFORMES,ESTRILDIDAE,2.45,0.615562879,1.219021194,219.9654894
Phyllanthus atripennis,3,85.6,0.75,7.4,12.6928523,0.5,0.253857,3056.324548,387.9347608,12.6928523,VU,Decreasing,2,PASSERIFORMES,LEIOTRICHIDAE,4.91,0.759564955,1.057608332,100.5772731
Scotopelia ussheri,3,787.2,1,21,93.3622278,1,1.867245,343978.6534,321146.134,93.3622278,VU,Decreasing,2,STRIGIFORMES,STRIGIDAE,8.03,0.800102977,1.028161964,19.02268888
Stephanoaetus coronatus,2,3640,1,22.1,6.135211182,1,0.061352,5899624.474,361954.4204,6.135211182,NT,Decreasing,1,ACCIPITRIFORMES,ACCIPITRIDAE,12.59,0.893344602,1.008998376,5.910968396
Terathopius ecaudatus,4,2200,0.25,46.8,0.627707406,0,0.018831,13764107.68,86398.32327,0.627707406,EN,Decreasing,3,ACCIPITRIFORMES,ACCIPITRIDAE,15.55,0.885315298,1.007864295,3.6
