"species","iucn_weight","aoh_cells","pct_raw","pct_qual"
"Apalis sharpii",8,31703,34.9,40.6
"Aquila rapax",16,11006,38.5,50
"Balearica pavonina",16,67,100,100
"Ceratogymna atrata",8,31235,29.8,33.4
"Ceratogymna elata",16,31204,33,36.1
"Chelictinia riocourii",16,49,46.9,50.2
"Circaetus beaudouini",16,3921,39.9,50
"Criniger olivaceus",16,25727,31,33.7
"Hylopsar cupreocauda",8,33754,30.4,33.6
"Illadopsis rufescens",8,25067,36.2,39.8
"Malaconotus lagdeni",8,30062,30.1,33.5
"Merops mentalis",8,17732,39.5,43.4
"Necrosyrtes monachus",64,18665,41.7,50
"Parmoptila rubrifrons",8,10797,38.1,40.7
"Phyllanthus atripennis",16,44,88.6,89.1
"Scotopelia ussheri",16,36455,31.6,35.3
"Stephanoaetus coronatus",8,41146,30.4,34.1
"Terathopius ecaudatus",32,9832,40.6,50
